Date,Open,High,Low,Close,Adj Close,Volume
2012-11-01,125.500000,126.449997,124.000000,125.000000,118.618515,754150
2012-11-02,125.599998,128.649994,125.599998,127.949997,121.417908,1501687
2012-11-05,127.000000,130.600006,127.000000,127.449997,120.943451,1196272
2012-11-06,127.400002,136.699997,126.150002,134.850006,127.965668,3019713
2012-11-07,135.000000,136.000000,129.050003,130.850006,124.169868,1782253
2012-11-08,130.800003,131.500000,128.199997,130.600006,123.932632,754715
2012-11-09,130.000000,132.449997,127.199997,127.900002,121.370461,355941
2012-11-11,null,null,null,null,null,null
2012-11-12,127.050003,130.600006,126.650002,129.199997,122.604103,692315
2012-11-15,128.899994,132.500000,128.050003,131.399994,124.691788,453557
2012-11-16,131.399994,133.250000,126.000000,127.349998,120.848549,671193
2012-11-19,125.199997,130.000000,125.199997,127.949997,121.417908,642800
2012-11-20,130.000000,130.699997,121.599998,123.199997,116.910416,787747
2012-11-21,124.000000,125.400002,122.150002,123.050003,116.768066,360974
2012-11-22,123.949997,124.800003,121.550003,122.800003,116.530838,251196
2012-11-23,123.449997,124.500000,122.050003,123.349998,117.052757,182011
2012-11-26,123.900002,125.949997,123.099998,125.349998,118.950653,292680
2012-11-27,126.400002,130.600006,125.099998,129.750000,123.126038,1987923
2012-11-29,130.050003,132.199997,124.550003,125.449997,119.045540,1359991
2012-11-30,125.500000,130.699997,125.250000,130.149994,123.505608,1251861
2012-12-03,130.350006,133.250000,129.000000,132.250000,125.498398,1160794
2012-12-04,132.649994,137.899994,130.600006,134.399994,127.538628,3545718
2012-12-05,134.750000,136.300003,131.250000,133.699997,126.874390,1003342
2012-12-06,133.699997,136.500000,130.699997,135.050003,128.155457,3147331
2012-12-07,135.649994,138.800003,135.350006,137.600006,130.575256,1424101
2012-12-10,137.949997,138.750000,135.600006,137.050003,130.053345,612960
2012-12-11,137.149994,138.600006,131.750000,134.750000,127.870773,790611
2012-12-12,135.000000,136.600006,133.000000,135.649994,128.724808,543139
2012-12-13,136.000000,136.000000,130.050003,130.699997,124.027512,680712
2012-12-14,130.050003,136.449997,130.050003,135.649994,128.724808,878418
2012-12-17,136.050003,144.149994,135.550003,143.250000,135.936798,2010480
2012-12-18,144.600006,146.250000,142.100006,142.649994,135.367432,1908629
2012-12-19,144.050003,146.399994,142.250000,145.250000,137.834717,1845672
2012-12-20,145.250000,146.399994,139.050003,140.000000,132.852737,2098610
2012-12-21,139.449997,142.100006,133.649994,135.649994,128.724808,1487914
2012-12-24,137.000000,137.399994,133.449997,135.350006,128.440125,625551
2012-12-26,136.000000,137.500000,134.399994,136.399994,129.436523,526630
2012-12-27,137.449997,138.250000,132.449997,133.800003,126.969254,1895037
2012-12-28,133.500000,134.949997,132.050003,132.850006,126.067787,773240
2012-12-31,132.850006,135.949997,132.399994,135.000000,128.108047,636052
2013-01-01,136.250000,138.149994,135.300003,137.800003,130.765030,353823
2013-01-02,138.800003,140.199997,137.300003,138.449997,131.381882,1158271
2013-01-03,139.449997,140.000000,137.149994,138.300003,131.239532,996003
2013-01-04,138.300003,138.300003,134.500000,137.500000,130.480377,1236742
2013-01-07,137.000000,141.250000,137.000000,140.050003,132.900208,1974675
2013-01-08,140.600006,140.649994,135.300003,137.449997,130.432922,750310
2013-01-09,137.000000,138.899994,134.449997,135.149994,128.250351,804170
2013-01-10,136.100006,136.649994,134.199997,135.800003,128.867172,649023
2013-01-11,135.800003,136.399994,131.100006,131.699997,124.976486,627649
2013-01-14,131.699997,136.750000,131.100006,136.300003,129.341644,645456
2013-01-15,135.100006,137.399994,133.699997,136.899994,129.910995,611458
2013-01-16,137.350006,139.000000,134.750000,135.600006,128.677353,1823638
2013-01-17,135.949997,136.800003,133.649994,134.600006,127.728432,448421
2013-01-18,134.600006,135.800003,131.750000,132.250000,125.498398,551806
2013-01-21,131.949997,137.000000,131.550003,135.750000,128.819717,1013495
2013-01-22,135.750000,138.199997,134.350006,135.449997,128.535004,1864356
2013-01-23,135.899994,136.149994,133.149994,133.649994,126.826920,633457
2013-01-24,137.899994,137.899994,128.600006,129.949997,123.315819,948386
2013-01-25,129.949997,130.899994,126.050003,130.300003,123.647949,1711468
2013-01-28,131.600006,137.800003,127.300003,136.750000,129.768661,6676462
2013-01-29,137.000000,156.250000,137.000000,145.800003,138.356659,19207648
2013-01-30,147.550003,148.800003,140.199997,142.649994,135.367432,10316243
2013-01-31,143.350006,155.000000,141.649994,150.550003,142.864182,8895649
2013-02-01,151.699997,156.649994,149.250000,149.949997,142.294769,3716667
2013-02-04,151.500000,154.899994,148.550003,149.899994,142.247330,2234003
2013-02-05,149.800003,153.399994,146.449997,150.250000,142.579468,2115293
2013-02-06,151.949997,162.649994,150.199997,154.949997,147.039490,5541384
2013-02-07,153.500000,158.350006,149.199997,155.850006,147.893585,4047635
2013-02-08,156.199997,157.449997,151.199997,151.850006,144.097794,1791582
2013-02-11,153.300003,156.500000,152.000000,153.500000,145.663559,2315423
2013-02-12,154.149994,156.500000,152.399994,153.699997,145.853333,2292412
2013-02-13,154.500000,158.699997,153.750000,154.899994,146.992050,1577507
2013-02-14,154.899994,155.699997,145.550003,148.399994,140.823898,3032088
2013-02-15,146.149994,151.699997,144.600006,149.949997,142.294769,1572387
2013-02-18,151.250000,152.300003,147.850006,149.050003,141.440735,888936
2013-02-19,150.100006,153.850006,149.550003,152.550003,144.762024,1183511
2013-02-20,153.050003,153.699997,149.449997,150.449997,142.769241,1086942
2013-02-21,150.300003,154.449997,143.649994,145.600006,138.166840,3125690
2013-02-22,146.350006,150.750000,143.149994,149.699997,142.057526,1120221
2013-02-25,149.699997,152.500000,145.850006,148.100006,140.539215,921416
2013-02-26,147.000000,148.000000,138.050003,141.449997,134.228729,1881561
2013-02-27,143.250000,144.500000,137.000000,143.300003,135.984283,2210177
2013-02-28,144.850006,145.800003,131.899994,138.649994,131.571655,4173623
2013-03-01,139.550003,141.800003,137.800003,140.100006,132.947632,3196913
2013-03-04,140.800003,140.800003,134.800003,136.149994,129.199265,900454
2013-03-05,137.350006,148.250000,136.699997,145.949997,138.498962,1772006
2013-03-06,147.000000,147.500000,143.199997,144.300003,136.933212,1195204
2013-03-07,144.000000,146.399994,143.300003,145.899994,138.451538,1019838
2013-03-08,146.449997,147.550003,145.050003,145.949997,138.498962,737539
2013-03-11,146.699997,146.750000,141.100006,142.000000,134.750656,885327
2013-03-12,130.600006,142.699997,130.600006,138.899994,131.808884,918664
2013-03-13,137.850006,139.899994,134.800003,135.399994,128.487579,814241
2013-03-14,135.449997,141.350006,133.000000,139.949997,132.805298,1204991
2013-03-15,140.250000,143.000000,137.800003,138.800003,131.714020,651943
2013-03-18,138.600006,140.350006,134.199997,139.050003,131.951248,1089644
2013-03-19,139.000000,139.750000,134.350006,136.000000,129.056946,970366
2013-03-20,135.000000,137.850006,132.000000,132.350006,125.593300,690865
2013-03-21,126.000000,134.500000,121.650002,127.300003,120.801102,1349239
2013-03-22,127.150002,127.699997,119.099998,124.099998,117.764473,2379340
2013-03-25,124.599998,129.699997,124.599998,128.050003,121.512817,1137186
2013-03-26,126.050003,133.750000,125.750000,131.399994,124.691788,1527015
2013-03-28,131.800003,141.600006,129.750000,138.699997,131.619110,1939645
2013-04-01,140.800003,144.199997,137.350006,142.449997,135.177643,890295
2013-04-02,142.949997,148.500000,142.649994,147.149994,139.637711,1468440
2013-04-03,147.850006,149.800003,144.500000,146.050003,138.593872,1553513
2013-04-04,144.500000,144.600006,139.600006,140.750000,133.564453,1364325
